"Year","StationId","Station.Sampled","Primary","Av_ShtLt","Av_ShtLn","Doy","Date","Lat","Lon","DAvWh"
2017,9,0,"VIa_Medium",55.5919,-9.1657,272,2017-09-29,55.6008301158301,-9.16257731958763,NA
2018,9,0,"VIa_Medium",55.5919,-9.1657,271,2018-09-28,55.6008301158301,-9.16257731958763,NA
2019,9,0,"VIa_Medium",55.5919,-9.1657,269,2019-09-26,55.6008301158301,-9.16257731958763,NA
2020,9,1,"VIa_Medium",55.5919,-9.1657,342,2020-12-07,55.6008301158301,-9.16257731958763,1.7585960445306
2021,9,0,"VIa_Medium",55.5919,-9.1657,342,2021-12-08,55.6008301158301,-9.16257731958763,NA
2022,9,0,"VIa_Medium",55.5919,-9.1657,272,2022-09-29,55.6008301158301,-9.16257731958763,NA
2012,10,0,"VIa_Deep",55.4165555555556,-9.252,304,2012-10-30,55.4265057915058,-9.26226116838488,NA
2013,10,0,"VIa_Deep",55.4165555555556,-9.252,341,2013-12-07,55.4265057915058,-9.26226116838488,NA
2014,10,0,"VIa_Deep",55.4165555555556,-9.252,304,2014-10-31,55.4265057915058,-9.26226116838488,NA
2015,10,0,"VIa_Deep",55.4165555555556,-9.252,304,2015-10-31,55.4265057915058,-9.26226116838488,NA
2016,10,0,"VIa_Deep",55.4165555555556,-9.252,341,2016-12-06,55.4265057915058,-9.26226116838488,2.5385618475115
2017,10,0,"VIa_Deep",55.4165555555556,-9.252,304,2017-10-31,55.4265057915058,-9.26226116838488,NA
2018,10,1,"VIa_Deep",55.4165555555556,-9.252,304,2018-10-31,55.4265057915058,-9.26226116838488,3.23932136915721
2019,10,0,"VIa_Deep",55.4165555555556,-9.252,341,2019-12-07,55.4265057915058,-9.26226116838488,4.35415591299501
2020,10,1,"VIa_Deep",55.4165555555556,-9.252,341,2020-12-06,55.4265057915058,-9.26226116838488,2.66783716745274
2021,10,1,"VIa_Deep",55.4165555555556,-9.252,304,2021-10-31,55.4265057915058,-9.26226116838488,2.61670757921902
2022,10,0,"VIa_Deep",55.4165555555556,-9.252,341,2022-12-07,55.4265057915058,-9.26226116838488,2.10527426562252
2012,12,1,"VIa_Deep",56.313,-8.34655555555556,272,2012-09-28,56.3230308880309,-8.34018556701031,NA
2013,12,0,"VIa_Deep",56.313,-8.34655555555556,265,2013-09-22,56.3230308880309,-8.34018556701031,NA
2014,12,0,"VIa_Deep",56.313,-8.34655555555556,306,2014-11-02,56.3230308880309,-8.34018556701031,NA
2015,12,1,"VIa_Deep",56.313,-8.34655555555556,265,2015-09-22,56.3230308880309,-8.34018556701031,2.78227351210082
2016,12,0,"VIa_Deep",56.313,-8.34655555555556,265,2016-09-21,56.3230308880309,-8.34018556701031,NA
2017,12,0,"VIa_Deep",56.313,-8.34655555555556,306,2017-11-02,56.3230308880309,-8.34018556701031,NA
2018,12,1,"VIa_Deep",56.313,-8.34655555555556,306,2018-11-02,56.3230308880309,-8.34018556701031,2.81397233226047
2019,12,0,"VIa_Deep",56.313,-8.34655555555556,265,2019-09-22,56.3230308880309,-8.34018556701031,NA
2020,12,0,"VIa_Deep",56.313,-8.34655555555556,306,2020-11-01,56.3230308880309,-8.34018556701031,NA
2021,12,0,"VIa_Deep",56.313,-8.34655555555556,272,2021-09-29,56.3230308880309,-8.34018556701031,NA
2022,12,0,"VIa_Deep",56.313,-8.34655555555556,265,2022-09-22,56.3230308880309,-8.34018556701031,NA
2012,13,0,"VIa_Coast",56.1985,-7.7764,271,2012-09-27,56.1985135135135,-7.76700343642612,1.38140536440535
2013,13,0,"VIa_Coast",56.1985,-7.7764,268,2013-09-25,56.1985135135135,-7.76700343642612,NA
2014,13,1,"VIa_Coast",56.1985,-7.7764,271,2014-09-28,56.1985135135135,-7.76700343642612,2.98309087756385
2015,13,1,"VIa_Coast",56.1985,-7.7764,267,2015-09-24,56.1985135135135,-7.76700343642612,4.09023228034936
2016,13,1,"VIa_Coast",56.1985,-7.7764,273,2016-09-29,56.1985135135135,-7.76700343642612,5.08209480806854
2017,13,1,"VIa_Coast",56.1985,-7.7764,281,2017-10-08,56.1985135135135,-7.76700343642612,2.08115844995994
2018,13,0,"VIa_Coast",56.1985,-7.7764,268,2018-09-25,56.1985135135135,-7.76700343642612,NA
2019,13,0,"VIa_Coast",56.1985,-7.7764,272,2019-09-29,56.1985135135135,-7.76700343642612,NA
2020,13,0,"VIa_Coast",56.1985,-7.7764,281,2020-10-07,56.1985135135135,-7.76700343642612,NA
2021,13,1,"VIa_Coast",56.1985,-7.7764,306,2021-11-02,56.1985135135135,-7.76700343642612,2.38937885457624
2022,13,0,"VIa_Coast",56.1985,-7.7764,271,2022-09-28,56.1985135135135,-7.76700343642612,NA
2012,14,1,"VIa_Medium",56.2136666666667,-7.28677777777778,273,2012-09-29,56.223416988417,-7.29350515463917,NA
2013,14,1,"VIa_Medium",56.2136666666667,-7.28677777777778,272,2013-09-29,56.223416988417,-7.29350515463917,1.14577429623339
2014,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,275,2014-10-02,56.223416988417,-7.29350515463917,5.50386789141944
2015,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,281,2015-10-08,56.223416988417,-7.29350515463917,NA
2016,14,1,"VIa_Medium",56.2136666666667,-7.28677777777778,275,2016-10-01,56.223416988417,-7.29350515463917,2.35116038749939
2017,14,1,"VIa_Medium",56.2136666666667,-7.28677777777778,281,2017-10-08,56.223416988417,-7.29350515463917,2.01923055545276
2018,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,275,2018-10-02,56.223416988417,-7.29350515463917,NA
2019,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,281,2019-10-08,56.223416988417,-7.29350515463917,NA
2020,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,273,2020-09-29,56.223416988417,-7.29350515463917,NA
2021,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,272,2021-09-29,56.223416988417,-7.29350515463917,NA
2022,14,0,"VIa_Medium",56.2136666666667,-7.28677777777778,275,2022-10-02,56.223416988417,-7.29350515463917,NA
2012,15,1,"VIa_Deep",56.0135714285714,-8.18828571428571,276,2012-10-02,56.0241891891892,-8.19065979381443,3.21089549956167
2013,15,1,"VIa_Deep",56.0135714285714,-8.18828571428571,271,2013-09-28,56.0241891891892,-8.19065979381443,0.771968654413781
2014,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,306,2014-11-02,56.0241891891892,-8.19065979381443,NA
2015,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,311,2015-11-07,56.0241891891892,-8.19065979381443,NA
2016,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,276,2016-10-02,56.0241891891892,-8.19065979381443,2.42312628260313
2017,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,271,2017-09-28,56.0241891891892,-8.19065979381443,NA
2018,15,1,"VIa_Deep",56.0135714285714,-8.18828571428571,306,2018-11-02,56.0241891891892,-8.19065979381443,2.70229275859312
2019,15,1,"VIa_Deep",56.0135714285714,-8.18828571428571,311,2019-11-07,56.0241891891892,-8.19065979381443,3.26801531399436
2020,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,276,2020-10-02,56.0241891891892,-8.19065979381443,NA
2021,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,271,2021-09-28,56.0241891891892,-8.19065979381443,NA
2022,15,0,"VIa_Deep",56.0135714285714,-8.18828571428571,306,2022-11-02,56.0241891891892,-8.19065979381443,NA
2012,16,0,"VIa_Deep",55.9895,-7.828,273,2012-09-29,55.9992857142857,-7.81684536082474,NA
2013,16,0,"VIa_Deep",55.9895,-7.828,282,2013-10-09,55.9992857142857,-7.81684536082474,NA
2014,16,0,"VIa_Deep",55.9895,-7.828,311,2014-11-07,55.9992857142857,-7.81684536082474,NA
2015,16,0,"VIa_Deep",55.9895,-7.828,273,2015-09-30,55.9992857142857,-7.81684536082474,NA
2016,16,1,"VIa_Deep",55.9895,-7.828,273,2016-09-29,55.9992857142857,-7.81684536082474,5.04668869631873
2017,16,1,"VIa_Deep",55.9895,-7.828,282,2017-10-09,55.9992857142857,-7.81684536082474,1.78122329970668
2018,16,0,"VIa_Deep",55.9895,-7.828,273,2018-09-30,55.9992857142857,-7.81684536082474,NA
2019,16,0,"VIa_Deep",55.9895,-7.828,282,2019-10-09,55.9992857142857,-7.81684536082474,NA
2020,16,0,"VIa_Deep",55.9895,-7.828,311,2020-11-06,55.9992857142857,-7.81684536082474,3.96390831204771
2021,16,0,"VIa_Deep",55.9895,-7.828,273,2021-09-30,55.9992857142857,-7.81684536082474,NA
2022,16,1,"VIa_Deep",55.9895,-7.828,311,2022-11-07,55.9992857142857,-7.81684536082474,4.03117053469197
2012,17,1,"VIa_Deep",55.863,-7.66554545454545,274,2012-09-30,55.8747683397683,-7.66731958762887,3.98679616843932
2013,17,1,"VIa_Deep",55.863,-7.66554545454545,271,2013-09-28,55.8747683397683,-7.66731958762887,0.631898483800373
2014,17,0,"VIa_Deep",55.863,-7.66554545454545,273.5,2014-09-30,55.8747683397683,-7.66731958762887,NA
2015,17,1,"VIa_Deep",55.863,-7.66554545454545,269,2015-09-26,55.8747683397683,-7.66731958762887,1.7965647923034
2016,17,1,"VIa_Deep",55.829,-7.62566666666667,278,2016-10-04,55.8249613899614,-7.61747766323024,3.41197317717356
2017,17,0,"VIa_Deep",55.863,-7.66554545454545,272,2017-09-29,55.8747683397683,-7.66731958762887,NA
2018,17,0,"VIa_Deep",55.863,-7.66554545454545,273.5,2018-09-30,55.8747683397683,-7.66731958762887,NA
2019,17,0,"VIa_Deep",55.863,-7.66554545454545,310,2019-11-06,55.8747683397683,-7.66731958762887,1.28807978520835
2020,17,0,"VIa_Deep",55.863,-7.66554545454545,272,2020-09-28,55.8747683397683,-7.66731958762887,NA
2021,17,1,"VIa_Deep",55.829,-7.62566666666667,309,2021-11-05,55.8249613899614,-7.61747766323024,1.74801309325954
2022,17,1,"VIa_Deep",55.829,-7.62566666666667,311,2022-11-07,55.8249613899614,-7.61747766323024,3.89036938200649
2012,19,1,"VIa_Coast",55.2099285714286,-7.918,276,2012-10-02,55.2023745173745,-7.91652920962199,0.473973287942189
2013,19,0,"VIa_Coast",55.2099285714286,-7.918,274,2013-10-01,55.2023745173745,-7.91652920962199,0.546144388795088
2014,19,0,"VIa_Coast",55.2099285714286,-7.918,293,2014-10-20,55.2023745173745,-7.91652920962199,NA
2015,19,1,"VIa_Coast",55.2099285714286,-7.918,270,2015-09-27,55.2023745173745,-7.91652920962199,0.239470454851799
2016,19,0,"VIa_Coast",55.2099285714286,-7.918,309,2016-11-04,55.2023745173745,-7.91652920962199,NA
2017,19,1,"VIa_Coast",55.2099285714286,-7.918,283,2017-10-10,55.2023745173745,-7.91652920962199,0.706882911573964
2018,19,1,"VIa_Coast",55.2099285714286,-7.918,310,2018-11-06,55.2023745173745,-7.91652920962199,0.468763189133446
2019,19,1,"VIa_Coast",55.2099285714286,-7.918,312,2019-11-08,55.2023745173745,-7.91652920962199,0.981874480422481
2020,19,0,"VIa_Coast",55.2099285714286,-7.918,274,2020-09-30,55.2023745173745,-7.91652920962199,NA
2021,19,1,"VIa_Coast",55.2099285714286,-7.918,308,2021-11-04,55.2023745173745,-7.91652920962199,1.07321382864579
2022,19,1,"VIa_Coast",55.2099285714286,-7.918,314,2022-11-10,55.2023745173745,-7.91652920962199,0.553561695340482
2012,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,274,2012-09-30,55.5261196911197,-7.7420824742268,3.69716427795762
2013,20,1,"VIa_Coast",55.5207777777778,-7.75133333333333,274,2013-10-01,55.5261196911197,-7.7420824742268,1.98169357634409
2014,20,1,"VIa_Coast",55.5207777777778,-7.75133333333333,272,2014-09-29,55.5261196911197,-7.7420824742268,2.17887916282215
2015,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,304,2015-10-31,55.5261196911197,-7.7420824742268,NA
2016,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,311,2016-11-06,55.5261196911197,-7.7420824742268,NA
2017,20,1,"VIa_Coast",55.5207777777778,-7.75133333333333,283,2017-10-10,55.5261196911197,-7.7420824742268,3.56757886692538
2018,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,271,2018-09-28,55.5261196911197,-7.7420824742268,NA
2019,20,1,"VIa_Coast",55.5207777777778,-7.75133333333333,310,2019-11-06,55.5261196911197,-7.7420824742268,1.26184927986203
2020,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,304,2020-10-30,55.5261196911197,-7.7420824742268,NA
2021,20,1,"VIa_Coast",55.5207777777778,-7.75133333333333,309,2021-11-05,55.5261196911197,-7.7420824742268,1.75196076458097
2022,20,0,"VIa_Coast",55.5207777777778,-7.75133333333333,274,2022-10-01,55.5261196911197,-7.7420824742268,NA
2012,22,0,"VIa_Medium",54.5895714285714,-8.87,277,2012-10-03,54.5797876447876,-8.86352577319588,2.20838931487088
2013,22,1,"VIa_Medium",54.5895714285714,-8.87,277.5,2013-10-04,54.5797876447876,-8.86352577319588,NA
2014,22,1,"VIa_Medium",54.591,-8.89633333333333,269,2014-09-26,54.5797876447876,-8.88844673539519,3.59487268720305
2015,22,0,"VIa_Medium",54.5895714285714,-8.87,277,2015-10-04,54.5797876447876,-8.86352577319588,NA
2016,22,1,"VIa_Medium",54.5895714285714,-8.87,279,2016-10-05,54.5797876447876,-8.86352577319588,2.18536161611365
2017,22,0,"VIa_Medium",54.5895714285714,-8.87,319,2017-11-15,54.5797876447876,-8.86352577319588,3.39439678726311
2018,22,0,"VIa_Medium",54.5895714285714,-8.87,277,2018-10-04,54.5797876447876,-8.86352577319588,NA
2019,22,1,"VIa_Medium",54.5505,-8.919,313,2019-11-09,54.5548841698842,-8.9133676975945,3.09022450731341
2020,22,1,"VIa_Medium",54.5895714285714,-8.87,338,2020-12-03,54.5797876447876,-8.86352577319588,5.36728697706664
2021,22,1,"VIa_Medium",54.5895714285714,-8.87,312,2021-11-08,54.5797876447876,-8.86352577319588,2.41692601731156
2022,22,0,"VIa_Medium",54.5895714285714,-8.87,319,2022-11-15,54.5797876447876,-8.86352577319588,2.98273859980671
2012,23,0,"VIa_Coast",54.5895714285714,-8.87,277,2012-10-03,54.5797876447876,-8.86352577319588,2.20838931487088
2013,23,1,"VIa_Coast",54.5895714285714,-8.87,277.5,2013-10-04,54.5797876447876,-8.86352577319588,NA
2014,23,0,"VIa_Coast",54.5895714285714,-8.87,319,2014-11-15,54.5797876447876,-8.86352577319588,1.73982329256592
2015,23,1,"VIa_Coast",54.5555,-8.81975,272,2015-09-29,54.5548841698842,-8.81368384879725,0.961805273173565
2016,23,1,"VIa_Coast",54.5895714285714,-8.87,279,2016-10-05,54.5797876447876,-8.86352577319588,2.18536161611365
2017,23,0,"VIa_Coast",54.5895714285714,-8.87,320,2017-11-16,54.5797876447876,-8.86352577319588,NA
2018,23,0,"VIa_Coast",54.5895714285714,-8.87,277,2018-10-04,54.5797876447876,-8.86352577319588,NA
2019,23,1,"VIa_Coast",54.5505,-8.919,313,2019-11-09,54.5548841698842,-8.9133676975945,3.09022450731341
2020,23,1,"VIa_Coast",54.5895714285714,-8.87,338,2020-12-03,54.5797876447876,-8.86352577319588,5.36728697706664
2021,23,1,"VIa_Coast",54.5895714285714,-8.87,312,2021-11-08,54.5797876447876,-8.86352577319588,2.41692601731156
2022,23,0,"VIa_Coast",54.5895714285714,-8.87,319,2022-11-15,54.5797876447876,-8.86352577319588,2.98273859980671
2012,25,1,"VIa_Coast",54.5790625,-8.3610625,270,2012-09-26,54.5797876447876,-8.36510652920962,0.0690503862743427
2013,25,1,"VIa_Coast",54.5790625,-8.3610625,277,2013-10-04,54.5797876447876,-8.36510652920962,0.125069786179055
2014,25,1,"VIa_Coast",54.5790625,-8.3610625,276,2014-10-03,54.5797876447876,-8.36510652920962,0.347397378631058
2015,25,1,"VIa_Coast",54.5790625,-8.3610625,272,2015-09-29,54.5797876447876,-8.36510652920962,0.221457977425187
2016,25,1,"VIa_Coast",54.5790625,-8.3610625,271,2016-09-27,54.5797876447876,-8.36510652920962,0.516843520132907
2017,25,0,"VIa_Coast",54.5790625,-8.3610625,312,2017-11-08,54.5797876447876,-8.36510652920962,0.324708308898297
2018,25,0,"VIa_Coast",54.5790625,-8.3610625,320,2018-11-16,54.5797876447876,-8.36510652920962,0.418374903467287
2019,25,1,"VIa_Coast",54.5790625,-8.3610625,313,2019-11-09,54.5797876447876,-8.36510652920962,0.303107866337842
2020,25,1,"VIa_Coast",54.5790625,-8.3610625,337,2020-12-02,54.5797876447876,-8.36510652920962,0.524294112784177
2021,25,1,"VIa_Coast",54.5790625,-8.3610625,313,2021-11-09,54.5797876447876,-8.36510652920962,0.331976324224634
2022,25,0,"VIa_Coast",54.5790625,-8.3610625,271,2022-09-28,54.5797876447876,-8.36510652920962,NA
2012,27,1,"VIIb_Medium",54.5051666666667,-9.529,310,2012-11-05,54.5050772200772,-9.53639175257732,NA
2013,27,1,"VIIb_Medium",54.5051666666667,-9.529,332,2013-11-28,54.5050772200772,-9.53639175257732,2.76138780064164
2014,27,0,"VIIb_Medium",54.5051666666667,-9.529,316.5,2014-11-12,54.5050772200772,-9.53639175257732,NA
2015,27,0,"VIIb_Medium",54.5051666666667,-9.529,315,2015-11-11,54.5050772200772,-9.53639175257732,NA
2016,27,0,"VIIb_Medium",54.5051666666667,-9.529,314.5,2016-11-09,54.5050772200772,-9.53639175257732,NA
2017,27,1,"VIIb_Medium",54.47125,-9.420375,317,2017-11-13,54.4801737451737,-9.41178694158076,3.23460297426303
2018,27,1,"VIIb_Medium",54.47125,-9.420375,315,2018-11-11,54.4801737451737,-9.41178694158076,2.60183956995088
2019,27,1,"VIIb_Medium",54.47125,-9.420375,318,2019-11-14,54.4801737451737,-9.41178694158076,4.85762151752781
2020,27,0,"VIIb_Medium",54.5051666666667,-9.529,315.5,2020-11-10,54.5050772200772,-9.53639175257732,NA
2021,27,1,"VIIb_Medium",54.5051666666667,-9.529,313,2021-11-09,54.5050772200772,-9.53639175257732,4.00251341333533
2022,27,1,"VIIb_Medium",54.47125,-9.420375,316,2022-11-12,54.4801737451737,-9.41178694158076,2.41333256590661
2012,29,1,"VIIb_Coast",54.3026363636364,-9.918,350,2012-12-15,54.3058494208494,-9.91020618556701,2.23560092628358
2013,29,0,"VIIb_Coast",54.3026363636364,-9.918,349,2013-12-15,54.3058494208494,-9.91020618556701,NA
2014,29,0,"VIIb_Coast",54.3026363636364,-9.918,314,2014-11-10,54.3058494208494,-9.91020618556701,NA
2015,29,1,"VIIb_Coast",54.3026363636364,-9.918,349,2015-12-15,54.3058494208494,-9.91020618556701,0.937643341443103
2016,29,0,"VIIb_Coast",54.3026363636364,-9.918,350,2016-12-15,54.3058494208494,-9.91020618556701,2.24023194437894
2017,29,0,"VIIb_Coast",54.3026363636364,-9.918,349,2017-12-15,54.3058494208494,-9.91020618556701,NA
2018,29,1,"VIIb_Coast",54.3026363636364,-9.918,314,2018-11-10,54.3058494208494,-9.91020618556701,1.92183768347221
2019,29,0,"VIIb_Coast",54.3026363636364,-9.918,314,2019-11-10,54.3058494208494,-9.91020618556701,3.55098883002348
2020,29,0,"VIIb_Coast",54.3026363636364,-9.918,350,2020-12-15,54.3058494208494,-9.91020618556701,NA
2021,29,1,"VIIb_Coast",54.3026363636364,-9.918,314,2021-11-10,54.3058494208494,-9.91020618556701,2.88885025851499
2022,29,0,"VIIb_Coast",54.3026363636364,-9.918,314,2022-11-10,54.3058494208494,-9.91020618556701,1.79419147126589
2012,31,1,"VIIb_Medium",53.1658888888889,-10.7155555555556,348,2012-12-13,53.1602895752896,-10.707676975945,3.75490815394142
2013,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,344,2013-12-10,53.1602895752896,-10.707676975945,NA
2014,31,1,"VIIb_Medium",53.1658888888889,-10.7155555555556,349,2014-12-15,53.1602895752896,-10.707676975945,4.7933120317808
2015,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,316,2015-11-12,53.1602895752896,-10.707676975945,NA
2016,31,1,"VIIb_Medium",53.1658888888889,-10.7155555555556,320,2016-11-15,53.1602895752896,-10.707676975945,3.06063705070452
2017,31,1,"VIIb_Medium",53.1658888888889,-10.7155555555556,319,2017-11-15,53.1602895752896,-10.707676975945,3.4907638073992
2018,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,344,2018-12-10,53.1602895752896,-10.707676975945,4.12293846128565
2019,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,326,2019-11-22,53.1602895752896,-10.707676975945,1.7142377826917
2020,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,316,2020-11-11,53.1602895752896,-10.707676975945,NA
2021,31,1,"VIIb_Medium",53.1658888888889,-10.7155555555556,320,2021-11-16,53.1602895752896,-10.707676975945,4.60334127330149
2022,31,0,"VIIb_Medium",53.1658888888889,-10.7155555555556,349,2022-12-15,53.1602895752896,-10.707676975945,2.87655650083437
2012,32,0,"VIIb_Deep",53.0504285714286,-10.9048571428571,336.5,2012-12-01,53.0606756756757,-10.9070446735395,NA
2013,32,1,"VIIb_Deep",53.0504285714286,-10.9048571428571,328,2013-11-24,53.0606756756757,-10.9070446735395,1.6650897104021
2014,32,1,"VIIb_Deep",53.0827,-10.9568,348,2014-12-14,53.0855791505792,-10.9568865979381,5.05184402044538
2015,32,0,"VIIb_Deep",53.0504285714286,-10.9048571428571,321,2015-11-17,53.0606756756757,-10.9070446735395,5.58789749140727
2016,32,1,"VIIb_Deep",53.0827,-10.9568,339,2016-12-04,53.0855791505792,-10.9568865979381,1.73299427249159
2017,32,1,"VIIb_Deep",53.0827,-10.9568,319,2017-11-15,53.0855791505792,-10.9568865979381,3.49378741931179
2018,32,1,"VIIb_Deep",53.0827,-10.9568,318,2018-11-14,53.0855791505792,-10.9568865979381,4.42777311384867
2019,32,0,"VIIb_Deep",53.0504285714286,-10.9048571428571,333,2019-11-29,53.0606756756757,-10.9070446735395,1.97517744875062
2020,32,1,"VIIb_Deep",53.0504285714286,-10.9048571428571,330,2020-11-25,53.0606756756757,-10.9070446735395,4.7775107089393
2021,32,1,"VIIb_Deep",53.0827,-10.9568,322,2021-11-18,53.0855791505792,-10.9568865979381,3.69473260224768
2022,32,1,"VIIb_Deep",53.0504285714286,-10.9048571428571,341,2022-12-07,53.0606756756757,-10.9070446735395,1.4771980369644
2012,33,0,"VIIb_Deep",53.0504285714286,-10.9048571428571,336.5,2012-12-01,53.0606756756757,-10.9070446735395,NA
2013,33,1,"VIIb_Deep",53.0504285714286,-10.9048571428571,328,2013-11-24,53.0606756756757,-10.9070446735395,1.6650897104021
2014,33,1,"VIIb_Deep",53.0827,-10.9568,348,2014-12-14,53.0855791505792,-10.9568865979381,5.05184402044538
2015,33,0,"VIIb_Deep",53.0504285714286,-10.9048571428571,321,2015-11-17,53.0606756756757,-10.9070446735395,5.58789749140727
2016,33,1,"VIIb_Deep",53.0827,-10.9568,339,2016-12-04,53.0855791505792,-10.9568865979381,1.73299427249159
